food_item,category,calories_kcal,protein_,carbohydrates_,fat_,fiber_,sugars_,sodium_(mg),cholesterol_(mg),meal_type,water_intake_(ml),impact_tags,image,timestamp,quantity,enhanced_tags
Scrambled Eggs (2 large),Protein/Dairy,180.0,12.0,2.0,14.0,0.0,1.0,180.0,370.0,Breakfast,250.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Whole Wheat Toast (1 slice),Grain,80.0,4.0,14.0,1.0,2.0,2.0,140.0,0.0,Breakfast,0.0,"['lowProtein', 'lowFibre', 'wholeFood', 'processed', 'glutenSensitive', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'processed', 'glutenSensitive', 'pcosFriendly']"
Coffee (black),Beverage,5.0,0.3,0.0,0.1,0.0,0.0,5.0,0.0,Breakfast,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'caffeine', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'caffeine', 'wholeFood', 'pcosFriendly']"
Banana,Fruit,105.0,1.3,27.0,0.4,3.1,14.0,1.0,0.0,Breakfast,0.0,"['sugary', 'lowProtein', 'wholeFood', 'pcosTrigger']",,,,"['sugary', 'lowProtein', 'wholeFood', 'pcosTrigger']"
Grilled Chicken Salad,Meal/Protein,350.0,30.0,10.0,20.0,5.0,4.0,400.0,80.0,Lunch,500.0,"['lowGlycemic', 'highProtein', 'highFibre', 'lowCarb', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['lowGlycemic', 'highProtein', 'highFibre', 'lowCarb', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
Apple,Fruit,95.0,0.5,25.0,0.3,4.4,19.0,2.0,0.0,Snack,0.0,"['lowProtein', 'pcosTrigger', 'sugary', 'gutFriendly', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'sugary', 'gutFriendly', 'wholeFood']"
Salmon (4oz grilled),Protein/Fish,230.0,25.0,0.0,14.0,0.0,0.0,60.0,60.0,Dinner,250.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'antiInflammatory', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'antiInflammatory', 'wholeFood', 'pcosFriendly']"
Quinoa (1 cup cooked),Grain,222.0,8.0,39.0,3.6,5.0,1.0,13.0,0.0,Dinner,0.0,"['noAddedSugar', 'highCarb', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['noAddedSugar', 'highCarb', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
Steamed Broccoli (1 cup),Vegetable,55.0,3.7,11.2,0.6,5.1,2.0,40.0,0.0,Dinner,0.0,"['lowProtein', 'caffeine', 'gasForming', 'highFibre', 'gutFriendly', 'wholeFood', 'estrogenLowering', 'pcosFriendly']",,,,"['lowProtein', 'gutFriendly', 'wholeFood', 'gasForming', 'highFibre', 'caffeine', 'estrogenLowering', 'pcosFriendly']"
Greek Yogurt (plain 1 cup),Dairy,150.0,25.0,8.0,3.0,0.0,7.0,85.0,10.0,Snack,250.0,"['highProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Oatmeal (1 cup cooked),Grain,160.0,6.0,28.0,3.0,4.0,1.0,2.0,0.0,Breakfast,250.0,"['noAddedSugar', 'wholeFood', 'gutFriendly', 'pcosFriendly']",,,,"['noAddedSugar', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
Blueberries (1/2 cup),Fruit,42.0,0.5,11.0,0.2,1.8,7.0,1.0,0.0,Breakfast,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'pcosFriendly']",,,,"['lowProtein', 'wholeFood', 'lowFibre', 'pcosFriendly']"
Almonds (1 oz),Nut,164.0,6.0,6.0,14.0,3.5,1.0,1.0,0.0,Snack,0.0,"['noAddedSugar', 'wholeFood', 'pcosFriendly', 'lowCarb']",,,,"['noAddedSugar', 'wholeFood', 'pcosFriendly', 'lowCarb']"
Turkey Sandwich (on wheat),Meal/Processed,340.0,22.0,34.0,12.0,5.0,6.0,850.0,50.0,Lunch,500.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'wholeFood', 'glutenSensitive', 'pcosFriendly']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'wholeFood', 'glutenSensitive', 'pcosFriendly']"
Carrot Sticks (1 cup),Vegetable,52.0,1.2,12.3,0.3,3.6,6.0,88.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'wholeFood', 'pcosFriendly']"
Spaghetti Bolognese,Meal/Pasta,460.0,20.0,55.0,18.0,6.0,10.0,700.0,50.0,Dinner,250.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
Side Salad (light dressing),Vegetable,70.0,2.0,8.0,4.0,3.0,3.0,150.0,0.0,Dinner,0.0,"['lowGlycemic', 'lowProtein', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowGlycemic', 'lowProtein', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Protein Shake (Whey),Supplement,120.0,24.0,3.0,1.0,1.0,2.0,160.0,5.0,Snack,500.0,"['highProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Cereal (Frosted Flakes 1 cup),Grain/Processed,130.0,2.0,31.0,0.0,1.0,11.0,190.0,0.0,Breakfast,0.0,"['lowProtein', 'highCarb', 'lowFibre', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'wholeFood', 'pcosFriendly']"
Lentil Soup (1 can),Meal/Legume,230.0,15.0,35.0,3.0,12.0,6.0,650.0,0.0,Lunch,250.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
White Rice (1 cup cooked),Grain,204.0,4.2,44.5,0.4,0.6,0.1,2.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'pcosTrigger', 'high_glycemic', 'highCarb', 'lowFibre', 'highGlycemic', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'pcosTrigger', 'highCarb', 'lowFibre', 'highGlycemic', 'wholeFood']"
Tofu Stir-fry,Meal/Vegetarian,400.0,18.0,30.0,22.0,7.0,9.0,500.0,0.0,Dinner,250.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
