food_item,category,calories_kcal,protein_,carbohydrates_,fat_,fiber_,sugars_,sodium_(mg),cholesterol_(mg),meal_type,water_intake_(ml),impact_tags,image,timestamp,quantity,calculated_tags
Scrambled Eggs (2 large),Protein/Dairy,180.0,12.0,2.0,14.0,0.0,1.0,180.0,370.0,Breakfast,250.0,"['highProtein', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Whole Wheat Toast (1 slice),Grain,80.0,4.0,14.0,1.0,2.0,2.0,140.0,0.0,Breakfast,0.0,"['lowProtein', 'wholeFood', 'processed', 'lowFibre']",,,,"['lowProtein', 'processed', 'lowFibre']"
Coffee (black),Beverage,5.0,0.3,0.0,0.1,0.0,0.0,5.0,0.0,Breakfast,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'caffeine', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'caffeine']"
Banana,Fruit,105.0,1.3,27.0,0.4,3.1,14.0,1.0,0.0,Breakfast,0.0,"['lowProtein', 'highCarb', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'sugary', 'energyBoost', 'wholeFood']"
Grilled Chicken Salad,Meal/Protein,350.0,30.0,10.0,20.0,5.0,4.0,400.0,80.0,Lunch,500.0,"['highProtein', 'highFibre', 'lowCarb', 'gutFriendly', 'wholeFood']",,,,"['highProtein', 'highFibre', 'lowCarb', 'gutFriendly', 'wholeFood']"
Apple,Fruit,95.0,0.5,25.0,0.3,4.4,19.0,2.0,0.0,Snack,0.0,"['lowProtein', 'highCarb', 'sugary', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'sugary', 'gutFriendly', 'energyBoost']"
Salmon (4oz grilled),Protein/Fish,230.0,25.0,0.0,14.0,0.0,0.0,60.0,60.0,Dinner,250.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']"
Quinoa (1 cup cooked),Grain,222.0,8.0,39.0,3.6,5.0,1.0,13.0,0.0,Dinner,0.0,"['highCarb', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['gutFriendly', 'energyBoost', 'highFibre', 'highCarb']"
Steamed Broccoli (1 cup),Vegetable,55.0,3.7,11.2,0.6,5.1,2.0,40.0,0.0,Dinner,0.0,"['lowProtein', 'gutFriendly', 'gasForming', 'highFibre', 'caffeine', 'wholeFood']",,,,"['lowProtein', 'caffeine', 'gasForming', 'highFibre', 'gutFriendly']"
Greek Yogurt (plain 1 cup),Dairy,150.0,25.0,8.0,3.0,0.0,7.0,85.0,10.0,Snack,250.0,"['highProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['highProtein', 'lowFibre', 'lowCarb']"
Oatmeal (1 cup cooked),Grain,160.0,6.0,28.0,3.0,4.0,1.0,2.0,0.0,Breakfast,250.0,"['gutFriendly', 'energyBoost', 'wholeFood', 'highCarb']",,,,"['gutFriendly', 'energyBoost', 'highCarb']"
Blueberries (1/2 cup),Fruit,42.0,0.5,11.0,0.2,1.8,7.0,1.0,0.0,Breakfast,0.0,"['lowProtein', 'wholeFood', 'lowFibre']",,,,"['lowProtein', 'lowFibre']"
Almonds (1 oz),Nut,164.0,6.0,6.0,14.0,3.5,1.0,1.0,0.0,Snack,0.0,"['wholeFood', 'lowCarb']",,,,['lowCarb']
Turkey Sandwich (on wheat),Meal/Processed,340.0,22.0,34.0,12.0,5.0,6.0,850.0,50.0,Lunch,500.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost']"
Carrot Sticks (1 cup),Vegetable,52.0,1.2,12.3,0.3,3.6,6.0,88.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood']",,,,['lowProtein']
Spaghetti Bolognese,Meal/Pasta,460.0,20.0,55.0,18.0,6.0,10.0,700.0,50.0,Dinner,250.0,"['highProtein', 'highCarb', 'sugary', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'highCarb', 'sugary', 'highFibre', 'gutFriendly', 'energyBoost']"
Side Salad (light dressing),Vegetable,70.0,2.0,8.0,4.0,3.0,3.0,150.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowCarb']",,,,"['lowProtein', 'wholeFood', 'lowCarb']"
Protein Shake (Whey),Supplement,120.0,24.0,3.0,1.0,1.0,2.0,160.0,5.0,Snack,500.0,"['highProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['highProtein', 'lowFibre', 'lowCarb']"
Cereal (Frosted Flakes 1 cup),Grain/Processed,130.0,2.0,31.0,0.0,1.0,11.0,190.0,0.0,Breakfast,0.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Lentil Soup (1 can),Meal/Legume,230.0,15.0,35.0,3.0,12.0,6.0,650.0,0.0,Lunch,250.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost']"
White Rice (1 cup cooked),Grain,204.0,4.2,44.5,0.4,0.6,0.1,2.0,0.0,Dinner,0.0,"['lowProtein', 'high_glycemic', 'highCarb', 'lowFibre', 'energyBoost']",,,,"['lowProtein', 'energyBoost', 'highCarb', 'lowFibre']"
Tofu Stir-fry,Meal/Vegetarian,400.0,18.0,30.0,22.0,7.0,9.0,500.0,0.0,Dinner,250.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost']"
Orange,Fruit,62.0,1.2,15.4,0.2,3.1,12.0,0.0,0.0,Snack,0.0,"['sugary', 'lowProtein', 'wholeFood']",,,,"['sugary', 'lowProtein']"
Bagel (plain),Grain,270.0,11.0,55.0,1.5,2.0,5.0,430.0,0.0,Breakfast,250.0,"['energyBoost', 'wholeFood', 'highCarb', 'lowFibre']",,,,"['energyBoost', 'highCarb', 'lowFibre']"
Cream Cheese (2 tbsp),Dairy,100.0,2.0,2.0,10.0,0.0,1.0,90.0,30.0,Breakfast,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Tuna Salad (1/2 cup),Meal/Fish,190.0,19.0,2.0,12.0,1.0,1.0,400.0,30.0,Lunch,500.0,"['highProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['highProtein', 'wholeFood', 'lowFibre', 'lowCarb']"
Crackers (5 whole wheat),Grain/Processed,90.0,2.0,14.0,3.0,2.0,0.0,180.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'noAddedSugar']",,,,"['lowProtein', 'lowFibre', 'noAddedSugar']"
Beef Steak (6oz sirloin),Protein/Meat,270.0,42.0,0.0,10.0,0.0,0.0,90.0,115.0,Dinner,250.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'caffeine', 'wholeFood']",,,,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'caffeine']"
Baked Potato (medium),Vegetable,160.0,4.3,36.0,0.2,3.8,1.0,17.0,0.0,Dinner,0.0,"['lowProtein', 'energyBoost', 'wholeFood', 'highCarb']",,,,"['lowProtein', 'energyBoost', 'highCarb']"
Ice Cream (1/2 cup vanilla),Dairy/Dessert,145.0,2.5,17.0,7.5,0.5,16.0,55.0,30.0,Snack,0.0,"['sugary', 'lowProtein', 'wholeFood', 'lowFibre']",,,,"['sugary', 'lowProtein', 'lowFibre']"
Pizza (1 slice pepperoni),Meal/Processed,290.0,12.0,34.0,12.0,2.0,4.0,720.0,35.0,Dinner,250.0,"['energyBoost', 'wholeFood', 'highCarb', 'lowFibre']",,,,"['energyBoost', 'highCarb', 'lowFibre']"
